epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,146.562,1.09798,0.98667,1,0.12417,0.000332698,0.000332698,0.000332698
2,259.65,0.22442,0.99778,1,0.0125,0.000600095,0.000600095,0.000600095
3,373.705,0.1296,1,1,0.00215,0.000801491,0.000801491,0.000801491
4,486.239,0.06669,1,1,0.0011,0.000703,0.000703,0.000703
5,597.751,0.05377,1,1,0.00041,0.000604,0.000604,0.000604
6,711.307,0.03143,1,1,0.00028,0.000505,0.000505,0.000505
7,823.156,0.02776,1,1,0.00021,0.000406,0.000406,0.000406
8,935.641,0.02371,1,1,0.00014,0.000307,0.000307,0.000307
9,1047.58,0.02143,1,1,0.00018,0.000208,0.000208,0.000208
10,1159.68,0.01735,1,1,0.00011,0.000109,0.000109,0.000109
